il,ilce,ilce-il,yil,ay,ay-isim,satis
Adana,Ceyhan,Ceyhan (Adana),2015,1,Ocak,120
Adana,Çukurova,Çukurova (Adana),2015,1,Ocak,546
Adana,Karataş,Karataş (Adana),2015,1,Ocak,26
Adana,Kozan,Kozan (Adana),2015,1,Ocak,74
Adana,Sarıçam,Sarıçam (Adana),2015,1,Ocak,20
Adana,Seyhan,Seyhan (Adana),2015,1,Ocak,646
Adana,Yüreğir,Yüreğir (Adana),2015,1,Ocak,83
Adıyaman,Besni,Besni (Adıyaman),2015,1,Ocak,35
Adıyaman,Gölbaşı,Gölbaşı (Adıyaman),2015,1,Ocak,32
Adıyaman,Merkez,Merkez (Adıyaman),2015,1,Ocak,225
Afyonkarahisar,İhsaniye,İhsaniye (Afyonkarahisar),2015,1,Ocak,162
Afyonkarahisar,Merkez,Merkez (Afyonkarahisar),2015,1,Ocak,240
Afyonkarahisar,Sandıklı,Sandıklı (Afyonkarahisar),2015,1,Ocak,28
Ağrı,Doğubayazıt,Doğubayazıt (Ağrı),2015,1,Ocak,41
Ağrı,Merkez,Merkez (Ağrı),2015,1,Ocak,45
Aksaray,Merkez,Merkez (Aksaray),2015,1,Ocak,333
Aksaray,Ortaköy,Ortaköy (Aksaray),2015,1,Ocak,22
Amasya,Merkez,Merkez (Amasya),2015,1,Ocak,174
Amasya,Merzifon,Merzifon (Amasya),2015,1,Ocak,62
Amasya,Taşova,Taşova (Amasya),2015,1,Ocak,28
Ankara,Akyurt,Akyurt (Ankara),2015,1,Ocak,70
Ankara,Altındağ,Altındağ (Ankara),2015,1,Ocak,729
Ankara,Beypazarı,Beypazarı (Ankara),2015,1,Ocak,28
Ankara,Çankaya,Çankaya (Ankara),2015,1,Ocak,1255
Ankara,Çubuk,Çubuk (Ankara),2015,1,Ocak,144
Ankara,Elmadağ,Elmadağ (Ankara),2015,1,Ocak,40
Ankara,Etimesgut,Etimesgut (Ankara),2015,1,Ocak,1151
Ankara,Gölbaşı,Gölbaşı (Ankara),2015,1,Ocak,170
Ankara,Güdül,Güdül (Ankara),2015,1,Ocak,85
Ankara,Haymana,Haymana (Ankara),2015,1,Ocak,24
Ankara,Kazan,Kazan (Ankara),2015,1,Ocak,89
Ankara,Keçiören,Keçiören (Ankara),2015,1,Ocak,1805
Ankara,Kızılcahamam,Kızılcahamam (Ankara),2015,1,Ocak,47
Ankara,Mamak,Mamak (Ankara),2015,1,Ocak,1461
Ankara,Polatlı,Polatlı (Ankara),2015,1,Ocak,186
Ankara,Pursaklar,Pursaklar (Ankara),2015,1,Ocak,239
Ankara,Şereflikoçhisar,Şereflikoçhisar (Ankara),2015,1,Ocak,48
Ankara,Sincan,Sincan (Ankara),2015,1,Ocak,915
Ankara,Yenimahalle,Yenimahalle (Ankara),2015,1,Ocak,1064
Antalya,Akseki,Akseki (Antalya),2015,1,Ocak,26
Antalya,Aksu,Aksu (Antalya),2015,1,Ocak,67
Antalya,Alanya,Alanya (Antalya),2015,1,Ocak,877
Antalya,Döşemealtı,Döşemealtı (Antalya),2015,1,Ocak,77
Antalya,Elmalı,Elmalı (Antalya),2015,1,Ocak,27
Antalya,Finike,Finike (Antalya),2015,1,Ocak,42
Antalya,Gazipaşa,Gazipaşa (Antalya),2015,1,Ocak,31
Antalya,Kaş,Kaş (Antalya),2015,1,Ocak,26
Antalya,Kemer,Kemer (Antalya),2015,1,Ocak,43
Antalya,Kepez,Kepez (Antalya),2015,1,Ocak,1361
Antalya,Konyaaltı,Konyaaltı (Antalya),2015,1,Ocak,521
Antalya,Korkuteli,Korkuteli (Antalya),2015,1,Ocak,96
Antalya,Kumluca,Kumluca (Antalya),2015,1,Ocak,48
Antalya,Manavgat,Manavgat (Antalya),2015,1,Ocak,270
Antalya,Muratpaşa,Muratpaşa (Antalya),2015,1,Ocak,1057
Antalya,Serik,Serik (Antalya),2015,1,Ocak,109
Artvin,Arhavi,Arhavi (Artvin),2015,1,Ocak,21
Artvin,Hopa,Hopa (Artvin),2015,1,Ocak,22
Artvin,Merkez,Merkez (Artvin),2015,1,Ocak,51
Aydın,Çine,Çine (Aydın),2015,1,Ocak,21
Aydın,Didim,Didim (Aydın),2015,1,Ocak,504
Aydın,Efeler,Efeler (Aydın),2015,1,Ocak,384
Aydın,İncirliova,İncirliova (Aydın),2015,1,Ocak,54
Aydın,Kuşadası,Kuşadası (Aydın),2015,1,Ocak,486
Aydın,Nazilli,Nazilli (Aydın),2015,1,Ocak,208
Aydın,Söke,Söke (Aydın),2015,1,Ocak,134
Balıkesir,Altıeylül,Altıeylül (Balıkesir),2015,1,Ocak,178
Balıkesir,Ayvalık,Ayvalık (Balıkesir),2015,1,Ocak,197
